feature name,p-score,variance
GDS_dataActual,0.08955028042907005,0.9999999999999999
GDS_dataPredict,0.055014328794233944,1.0000000000000002
MAROS_lander_return_value,0.20460902463289454,1.0
MAROS_max_elevation,0.11753319351732217,1.0
MAROS_orbiter_return_value,0.09504529650244534,0.9999999999999999
MAROS_rise_elevation,0.17745765515301057,0.9999999999999996
TDS_GDS_end_timedelta,-0.08684358430439947,1.0000000000000002
TDS_GDS_start_timedelta,-0.11526150009593437,1.0000000000000002
TDS_dssId_0,-0.006342271302793034,0.011969045682924513
TDS_dssId_14,-0.011767086646141584,0.01755861874682136
TDS_dssId_15,-0.010204554721171084,0.012257305970524622
TDS_dssId_24,0.013713840175088435,0.027424613079769074
TDS_dssId_25,-0.024426820503148657,0.04383999292317064
TDS_dssId_26,0.0030051566170094146,0.035163366998921364
TDS_dssId_34,0.013456289086224628,0.029233313213621034
TDS_dssId_35,0.014500930123134973,0.048111240177668234
TDS_dssId_36,-0.024681066653635904,0.019407051819436756
TDS_dssId_43,0.012240281521068623,0.01755861874682136
TDS_dssId_45,-0.03302923372526,0.016845718134008463
TDS_dssId_50,0.07115497242017682,0.24903724032996322
TDS_dssId_54,-0.01398514444733964,0.03598439796651187
TDS_dssId_55,0.014390925420160865,0.05677948288846414
TDS_dssId_63,0.024266421516946773,0.021671916654091846
TDS_dssId_64,-0.050181141758344476,0.001917114295335021
TDS_dssId_65,5.198467007937449e-05,0.035710895627595295
TDS_insync_megabits,-0.06422113096721077,1.0000000000000002
TDS_insync_tf_0_frames,-0.035171744277308375,0.9999999999999999
TDS_insync_tf_32_frames,-0.050215817757466585,1.0
TDS_outasync_tf_frames,-0.05152732020888586,1.0000000000000002
TDS_to_GDS_delta,-0.20329034654446557,1.0
actual_to_predict_begin_timedelta,-0.0960734652097338,0.9999999999999998
actual_to_predict_delta,-0.12248020975038067,1.0
actual_to_predict_end_timedelta,-0.08802921696093734,1.0
orbiter_DTE,-0.29188136878531334,0.03625772565514813
orbiter_MEX,-0.058706648292421205,0.0023584773848845074
orbiter_MRO,0.07299862325619419,0.24926088001386024
orbiter_MVN,-0.0448540242719063,0.017273589489406407
orbiter_ODY,0.09576707626141263,0.24019993614785756
orbiter_TGO,-0.02165767923804735,0.055608649240760304
orbiter_nan,-0.14412848024831373,0.00936684383191098
orbiter_to_TDS_delta,-0.23102869870745293,1.0000000000000002
rover_to_orbiter_delta,-0.2715542122199187,1.0000000000000002
